Client,Event,Statut,Date confirmée
Unicredit,NDR: Marubeni,Confirmé,2026-03-23
Intesa Sanpaolo SpA,NDR: Marubeni,Confirmé,2026-03-23
Eurizon Capital SGR,NDR: Marubeni,Confirmé,2026-03-23
Acomea,NDR: Marubeni,Confirmé,2026-03-23
Swedbank Robur Fonder AB,NDR: Sanil,Confirmé,2026-04-23
Third Swedish National Pension Fund (AP3),NDR: Sanil,Confirmé,2026-04-23
Brock Milton Capital AB,NDR: Sanil,Confirmé,2026-04-23
TBF Global Asset Management GmbH,1o1 Corporate Call: Doosan Enerbility,Confirmé,2026-05-22
Laiqon,NDR: Time Interconnect,Confirmé,2026-06-08
TBF Global Asset Management GmbH,NDR: Time Interconnect,Confirmé,2026-06-08
DWS Group GmbH & CO KGaA,NDR: Time Interconnect,Confirmé,2026-06-08
Swedbank Robur Fonder AB,NDR: Sunny Optical,Confirmé,2026-06-09
SEB,NDR: Sunny Optical,Confirmé,2026-06-09
Handelsbanken Asset Management,NDR: Sunny Optical,Confirmé,2026-06-09
DNCA Finance,NDR: Sunny Optical,Confirmé,2026-06-09
Mansartis,NDR: KIA,Confirmé,2026-06-09
DNCA Finance,NDR: KINIK,Confirmé,2026-06-09
Brock Milton Capital AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Third Swedish National Pension Fund (AP3),1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Swedbank Robur Fonder AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Handelsbanken Asset Management,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Fourth Swedish National Pension Fund (AP4),1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Lannebo Kapitalförvaltning AB,1o1 Analyst Marketing: Eugene Hsiao,Confirmé,2026-01-28
Fideuram - Intesa Sanpaolo Private Banking S.p.A.,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Algebris,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Acomea,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Unicredit,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Eurizon Capital SGR,1o1 Analyst Marketing: Albert Miao,Confirmé,2026-02-09
Prisma Investment Gmbh,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Laiqon,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
TBF Global Asset Management GmbH,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Deka Investment GmbH,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
DWS Group GmbH & CO KGaA,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Acatis Investment,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
CREDIT MUTUEL ASSET MANAGEMENT,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Mansartis,1o1 Analyst Marketing: Wendy Pan,Confirmé,2026-03-09
Sissener AS,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
DnB Asset Management AS - Norway,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
Storebrand Asset Management AS,1o1 Analyst Marketing: Kaylin Tsai,Confirmé,2026-03-17
